pnu,is_res,n_bld,gu,in_national
1111012100100340002,True,1,11110,False
1111012100100370000,False,1,11110,False
1111012100100400000,True,1,11110,False
1111012100100410000,False,1,11110,False
1111012100100460000,True,1,11110,False
1111012100100550000,False,1,11110,False
1111012200100110003,False,1,11110,False
1111012200100230000,False,1,11110,False
1111012200100360000,False,1,11110,False
1111012200100550001,False,1,11110,False
1111012200101380001,False,2,11110,False
1111012200101810010,False,1,11110,False
1111012200101900004,False,1,11110,False
1111012400100130000,True,1,11110,False
1111012400100170000,False,1,11110,False
1111012400100340000,True,1,11110,False
1111012400100350000,False,1,11110,False
1111012400100460019,False,1,11110,False
1111012400100510008,False,2,11110,False
1111012400100850001,False,1,11110,False
1111012400101040000,False,2,11110,False
1111012400101090000,True,1,11110,False
1111012400101100000,False,1,11110,False
1111012400101460002,False,1,11110,False
1111012500100180011,False,1,11110,False
1111012500101100007,False,1,11110,False
1111012600100240000,False,2,11110,False
1111012600100440000,False,1,11110,False
1111012700100050001,False,1,11110,False
1111012700100180000,False,1,11110,False
1111012700100380000,False,1,11110,False
1111012700100390005,False,1,11110,False
1111012700100420001,False,1,11110,False
1111012700100460000,False,1,11110,False
1111012700100610000,False,1,11110,False
1111012700100640000,False,1,11110,False
1111012700101240000,False,1,11110,False
1111012700101300001,False,1,11110,False
1111012700101430000,False,1,11110,False
1111012800100020001,False,1,11110,False
1111012800100020002,False,2,11110,False
1111012800100060000,False,1,11110,False
1111012800100080002,True,1,11110,False
1111012800100150002,False,1,11110,False
1111012800100270003,False,1,11110,False
1111012800100290008,False,1,11110,False
1111012800100290010,False,1,11110,False
1111012800100290012,False,1,11110,False
1111012800100290018,True,1,11110,False
1111012800100290019,True,1,11110,False
1111012800100290020,False,1,11110,False
1111012800100290021,False,1,11110,False
1111012800100560001,True,1,11110,False
1111012800100590000,True,1,11110,False
1111012800100610000,False,1,11110,False
1111012800100620000,False,1,11110,False
1111012800100650000,False,1,11110,False
1111012800100670000,False,1,11110,False
1111012800100680000,True,1,11110,False
1111012800100840004,False,1,11110,False
1111012800100880000,False,1,11110,False
1111012800100920000,False,1,11110,False
1111012800101060000,False,1,11110,False
1111012800101080000,False,1,11110,False
1111012800101470000,False,1,11110,False
1111012800101680000,False,1,11110,False
1111012800101920010,False,1,11110,False
1111012800101920017,False,1,11110,False
1111012800101920021,False,1,11110,False
1111012800101960012,False,1,11110,False
1111012800101970004,False,1,11110,False
1111012800101970024,False,1,11110,False
1111012800101980017,False,1,11110,False
1111012900100380002,False,1,11110,False
1111012900100400000,False,1,11110,False
1111012900100500002,False,1,11110,False
1111012900100980000,False,1,11110,False
1111013000100050009,False,1,11110,False
1111013000100050014,False,1,11110,False
1111013000100120002,False,2,11110,False
1111013000100150000,False,1,11110,False
1111013000100160003,False,1,11110,False
1111013000100610000,False,1,11110,False
1111013000101010001,False,2,11110,False
1111013000101430000,False,1,11110,False
1111013100100100000,False,1,11110,False
1111013100101490000,False,2,11110,False
1111013100101550001,False,1,11110,False
1111013100101630005,True,1,11110,False
1111013100101650005,False,1,11110,False
1111013100101710012,True,1,11110,False
1111013100101850001,False,1,11110,False
1111013200100190000,False,1,11110,False
1111013200100380002,True,1,11110,False
1111013200100570000,False,1,11110,False
1111013200100920000,True,1,11110,False
1111013200100970000,False,1,11110,False
1111013200100980062,False,1,11110,False
1111013300100030000,True,1,11110,False
1111013300100240000,False,1,11110,False
1111013300100330023,True,1,11110,False
1111013300100330025,True,1,11110,False
1111013300100530000,False,1,11110,False
1111013300100780001,True,1,11110,False
1111013300100800000,False,1,11110,False
1111013300100870001,True,1,11110,False
1111013300100910000,False,1,11110,False
1111013300100940003,True,1,11110,False
1111013300101060000,True,1,11110,False
1111013300101150000,False,1,11110,False
1111013300101230002,False,1,11110,False
1111013300101260001,False,1,11110,False
1111013300101540017,False,1,11110,False
1111013300101680004,False,1,11110,False
1111013300101730000,False,1,11110,False
1111013400100010001,False,1,11110,False
1111013400100010005,False,1,11110,False
1111013400100010008,True,1,11110,False
1111013400100010009,False,1,11110,False
1111013400100680001,False,1,11110,False
1111013500100070016,False,1,11110,False
1111013500100070019,False,1,11110,False
1111013500100120011,False,1,11110,False
1111013500100130009,False,1,11110,False
1111013500100180011,False,1,11110,False
1111013500100190004,False,1,11110,False
1111013500100190010,False,1,11110,False
1111013500100190013,False,1,11110,False
1111013500100190022,False,1,11110,False
1111013500100230000,False,1,11110,False
1111013500100250000,False,1,11110,False
1111013500100270001,False,1,11110,False
1111013500100270005,False,1,11110,False
1111013500100320001,False,1,11110,False
1111013500100330001,False,1,11110,False
1111013500100370001,False,1,11110,False
1111013500101550000,False,1,11110,False
1111013500101730002,False,1,11110,False
1111013500101780001,False,1,11110,False
1111013500101790000,False,1,11110,False
1111013500102560000,False,1,11110,False
1111013600100040000,False,1,11110,False
1111013600100230001,False,1,11110,False
1111013600100250001,False,1,11110,False
1111013600100260000,False,1,11110,False
1111013600100350000,False,1,11110,False
1111013600100750001,False,1,11110,False
1111013600100750004,False,1,11110,False
1111013600100790000,False,1,11110,False
1111013600100810000,False,1,11110,False
1111013600100840000,False,1,11110,False
1111013600100870000,False,1,11110,False
1111013600100880000,False,1,11110,False
1111013600100890000,False,1,11110,False
1111013600100930000,False,1,11110,False
1111013600100980000,False,1,11110,False
1111013600101120004,False,1,11110,False
1111013600101860000,False,1,11110,False
1111013600102180000,False,1,11110,False
1111013600102200002,True,1,11110,False
1111013600102240000,False,1,11110,False
1111013600102310000,False,1,11110,False
1111013700100060000,False,1,11110,False
1111013700100080000,False,1,11110,False
1111013700100130000,True,1,11110,False
1111013700100150000,False,1,11110,False
1111013700100560000,False,2,11110,False
1111013700100820007,False,1,11110,False
1111013700100990001,False,1,11110,False
1111013700101080001,False,2,11110,False
1111013700101090001,False,1,11110,False
1111013700101210001,False,1,11110,False
1111013700101270003,False,1,11110,False
1111013700101320002,False,2,11110,False
1111013700101330000,False,1,11110,False
1111013700101340002,False,1,11110,False
1111013700101360000,False,2,11110,False
1111013700101420000,False,1,11110,False
1111013700101480000,False,1,11110,False
1111013700101490000,False,1,11110,False
1111013700101530002,False,1,11110,False
1111013700101620000,False,1,11110,False
1111013700102200000,False,1,11110,False
1111013700102830013,False,1,11110,False
1111013700102830014,False,1,11110,False
1111013700102880000,False,1,11110,False
1111013800100390002,False,1,11110,False
1111013900100050003,False,1,11110,False
1111013900100140000,False,2,11110,False
1111013900100550000,False,1,11110,False
1111013900100630006,False,1,11110,False
1111013900100640000,False,1,11110,False
1111013900100670000,False,1,11110,False
1111013900101030000,True,1,11110,False
1111013900101040009,True,1,11110,False
1111013900101040013,True,1,11110,False
1111013900101130000,True,1,11110,False
1111013900101150029,False,1,11110,False
1111013900101240000,True,1,11110,False
1111014000100010006,True,1,11110,False
1111014000100010007,True,1,11110,False
1111014000100120000,True,1,11110,False
1111014000100150002,False,1,11110,False
1111014000100210003,False,1,11110,False
1111014000100250006,True,1,11110,False
1111014000100250007,False,1,11110,False
1111014000100270002,True,1,11110,False
1111014000100270017,True,1,11110,False
1111014000100270018,False,1,11110,False
1111014000100270019,True,1,11110,False
1111014000100270020,True,1,11110,False
1111014000100270024,True,1,11110,False
1111014000100270029,True,1,11110,False
