NTFC_SN,area_ha,n_seo,n_nat,d_seo,d_nat
11000NTC201807050001,3.3553053610723627,357.0,253.0,106.39866169614501,75.40297313480305
11230NTC202104130004,1.2981319371865783,93.0,0.0,71.6414081927277,0.0
11000NTC202112200002,18.37044832573432,905.0,670.0,49.26390384997991,36.471619424847006
11170NTC202304250009,6.276930133860769,20.0,5.0,3.1862709275845553,0.7965677318961388
11000NTC202108040001,9.408565335695245,265.0,214.0,28.165824495538548,22.745231856774527
11000NTC200010189932,9.283762624767183,38.0,25.0,4.093167989735515,2.692873677457576
11000NTC197408211263,2.864328475771575,96.0,85.0,33.51570911368331,29.675367444407097
11000NTC199712087469,4.760051081488516,39.0,15.0,8.193189386489589,3.1512266871113805
11000NTC200705171004,2.0918866225109998,134.0,1.0,64.05700890192264,0.4780373798650943
11000NTC200806262012,1.5964110164702567,119.0,106.0,74.54220672011826,66.3989404397692
11000NTC202008040019,25.428231456449,201.0,45.0,7.904600064076545,1.7696865815096743
11140NTC202007090010,0.24252128149335567,0.0,0.0,0.0,0.0
11000NTC202203250004,6.1820442344611415,273.0,101.0,44.16014988669781,16.33763787017025
11290NTC202504180005,6.500517303502612,479.0,453.0,73.68644334534807,69.68676166063189
11000NTC202504150003,8.98263889789598,318.0,267.0,35.401623466628024,29.724004608772585
11000NTC201807260001,3.765844108171395,154.0,90.0,40.89388609205567,23.899024339513055
11000NTC202407080002,0.5724172362803402,40.0,21.0,69.87909773634084,36.68652631157894
11000NTC200207132872,1.8259860710245637,12.0,12.0,6.571791642017718,6.571791642017718
11000NTC202504140001,19.43939150602188,838.0,612.0,43.10834522471584,31.482466918288896
11000NTC201809200003,0.16090994154049282,8.0,0.0,49.71725129852719,0.0
,4.399809523985626,36.0,19.0,8.182172388087592,4.318368760379562
,4.399809523985626,36.0,19.0,8.182172388087592,4.318368760379562
11000NTC200112261857,5.716313141619434,38.0,26.0,6.647641418264673,4.548386233549513
11000NTC200407156614,3.311685074738185,13.0,1.0,3.925494032981911,0.301961079460147
11000NTC199907218873,8.173975311149889,68.0,21.0,8.31908556259561,2.569129364919233
11110NTC202202030004,3.348370200591666,211.0,137.0,63.01573223973733,40.91542804191476
11200NTC202010120004,7.355711687268619,504.0,3.0,68.51818307021618,0.40784632779890584
11000NTC200312105351,8.674618662890847,48.0,36.0,5.533384447818924,4.150038335864193
11000NTC201707278219,1.2015886369891937,26.0,0.0,21.63802086639891,0.0
